,-1,-0.3,0,0.3,1,MEMO
1.008|-1.8|0.996|-2.7|0.982|-2.3|,0,7.95E-06,-6.96E-07,0,0,1
1.008|-1.8|0.995|-2.7|0.982|-2.3|,1.88E-05,3.56E-06,0,0,0,2
1.005|-1.7|0.995|-2.7|0.981|-2.3|,-1.69E-05,-2.08E-05,1.36E-07,1.62E-06,5.88E-05,1
1.004|-1.6|0.995|-2.7|0.981|-2.3|,0,-7.19E-06,-1.50E-06,1.25E-05,0,34
1.004|-1.6|0.994|-2.7|0.980|-2.3|,-1.78E-06,-4.39E-06,0,0,2.25E-05,5
1.003|-1.6|0.994|-2.7|0.980|-2.3|,0,0,0,0,6.38E-05,2
1.007|-1.7|0.996|-2.7|0.982|-2.3|,0,1.04E-05,0,0,0,29
1.007|-1.8|0.995|-2.7|0.982|-2.3|,0,2.40E-06,0,0,-1.15E-05,20
1.007|-1.7|0.995|-2.7|0.981|-2.3|,6.06E-06,0,0,0,0,3
1.006|-1.7|0.996|-2.7|0.981|-2.3|,-9.81E-06,0.000250485,-2.69E-05,-1.73E-06,-3.76E-06,4
1.007|-1.7|0.996|-2.7|0.981|-2.3|,1.32E-05,0,-1.49E-06,0,-7.78E-06,55
1.005|-1.7|0.995|-2.7|0.980|-2.3|,-1.06E-05,0,0,0,8.50E-06,19
1.004|-1.6|0.995|-2.7|0.980|-2.3|,-1.36E-05,-3.65E-06,0,4.74E-05,0,1
1.003|-1.6|0.995|-2.7|0.980|-2.3|,0,0,0,4.56E-06,0,17
1.004|-1.7|0.995|-2.7|0.980|-2.3|,0,-3.09E-06,0,4.17E-06,0,20
1.005|-1.7|0.996|-2.7|0.981|-2.3|,0,0,0,0,3.64E-06,2
1.006|-1.7|0.996|-2.7|0.982|-2.3|,0,6.62E-06,0,-1.26E-06,-4.40E-06,15
1.005|-1.7|0.995|-2.7|0.982|-2.3|,-2.55E-05,-5.30E-06,-0.000152806,-5.89E-06,8.11E-05,20
1.006|-1.7|0.994|-2.7|0.982|-2.3|,0,8.40E-06,-1.49E-06,0,0,2
1.005|-1.7|0.994|-2.7|0.982|-2.3|,0,-6.50E-07,0,0,7.86E-05,3
1.004|-1.7|0.994|-2.7|0.981|-2.3|,0,0,0,1.05E-05,0,41
1.003|-1.6|0.994|-2.7|0.981|-2.3|,0,0,0,3.49E-06,0,93
1.007|-1.7|0.995|-2.7|0.983|-2.3|,0,4.00E-06,0,-2.42E-06,-9.64E-06,17
1.008|-1.8|0.995|-2.7|0.983|-2.3|,9.97E-06,-1.69E-06,0,0,0,64
1.007|-1.8|0.995|-2.7|0.983|-2.3|,6.26E-06,0,0,0,0,15
1.004|-1.7|0.995|-2.7|0.981|-2.3|,0,0,0.000144215,0,0,18
1.004|-1.6|0.995|-2.7|0.982|-2.3|,0,-2.94E-06,-2.98E-07,0,4.35E-05,2
1.004|-1.6|0.994|-2.7|0.982|-2.3|,0,0,2.76E-07,0,0,3
1.006|-1.7|0.995|-2.7|0.983|-2.3|,-6.53E-06,-3.23E-05,-8.11E-06,-0.000191058,1.24E-06,7
1.007|-1.7|0.996|-2.7|0.983|-2.3|,-7.88E-08,0.000349557,1.18E-05,-1.52E-06,-1.71E-05,15
1.008|-1.8|0.996|-2.7|0.984|-2.4|,0,0,3.08E-06,0,0,154
1.008|-1.8|0.996|-2.7|0.984|-2.3|,0,0,0,0,-1.90E-05,195
1.009|-1.8|0.996|-2.7|0.984|-2.4|,0,0,0,0,-1.71E-05,270
1.010|-1.8|0.997|-2.8|0.984|-2.4|,0,1.38E-05,-7.96E-10,-1.16E-05,-2.19E-05,10
1.011|-1.8|0.998|-2.8|0.985|-2.4|,0.000126614,0,0,0,0,12
1.009|-1.8|0.997|-2.8|0.984|-2.4|,1.35E-05,0,0,0,0,2
1.008|-1.8|0.997|-2.7|0.984|-2.3|,0,0,0,-3.48E-06,0,2
